feature,value,F,P,T
attn_1_2_outputs,_,-0.14180441,1.1854141,-0.8122686
attn_1_2_outputs,_,0.4875018,0.45869988,0.1374755
attn_1_2_outputs,_,-0.32931647,0.87830615,-0.49895287
attn_1_2_outputs,_,-0.1785307,0.16045158,-0.8639972
attn_1_2_outputs,_,0.5269155,1.2485906,-1.8244286
attn_1_2_outputs,_,-0.383124,-0.5021012,-0.55019313
attn_1_2_outputs,_,-0.092871554,0.22963502,0.12724838
attn_1_2_outputs,_,-0.8239071,0.94725597,0.037750408
attn_1_2_outputs,_,0.34750172,0.9910317,-0.7895062
attn_1_2_outputs,_,-0.66590446,0.40987346,0.37104082
attn_1_2_outputs,_,-0.052774414,-0.43269822,-0.5298429
attn_1_3_outputs,(,-0.81292146,1.8696464,-0.5263783
attn_1_3_outputs,),-0.19519545,-0.15165852,-0.19049717
attn_1_3_outputs,<pad>,-0.3622958,0.81331193,0.30731088
attn_1_3_outputs,<s>,0.23445317,0.015669065,-1.4538736
attn_1_3_outputs,_,-0.35138428,0.28486276,-0.16167411
attn_1_3_outputs,_,-0.45811188,0.43144393,0.20147736
attn_1_3_outputs,_,0.5497336,0.15336615,0.7609401
attn_1_3_outputs,_,1.5862544,0.9128603,-1.2414508
attn_1_3_outputs,_,0.37166864,0.21070029,-0.18914412
attn_1_3_outputs,_,0.12535681,0.1599941,0.54591626
attn_1_3_outputs,_,-0.6368585,0.37556642,-0.5828852
attn_1_3_outputs,_,-0.935505,1.2570758,0.15145183
attn_1_3_outputs,_,0.5280753,0.11495201,-0.31024593
attn_1_3_outputs,_,-0.3986401,0.9080014,0.763646
attn_1_3_outputs,_,1.2436559,-0.40404543,-1.3131849
attn_1_3_outputs,_,0.686876,-0.80954635,-0.45231095
attn_2_0_outputs,(,-1.5561209,1.4590123,-0.57100546
attn_2_0_outputs,),0.9308131,-1.3626683,-1.3802326
attn_2_0_outputs,<pad>,-0.9678551,0.26538986,-0.8596553
attn_2_0_outputs,<s>,0.3270525,1.4117384,-0.017223258
attn_2_0_outputs,_,0.10557971,1.4797398,-0.36684495
attn_2_0_outputs,_,0.4341196,-0.31931913,1.5029707
attn_2_0_outputs,_,-0.2973821,-0.19198877,-0.1289013
attn_2_0_outputs,_,-0.36797506,0.47559232,0.19091709
attn_2_0_outputs,_,-0.4748216,0.026234714,0.63951665
attn_2_0_outputs,_,0.94507056,0.34140712,0.31623304
attn_2_0_outputs,_,-0.028984,-0.26938406,0.25619373
attn_2_0_outputs,_,-0.06181845,-0.548181,0.2155078
attn_2_0_outputs,_,0.3375238,0.1336795,-0.2824661
attn_2_0_outputs,_,0.575439,0.9426243,0.64006364
attn_2_0_outputs,_,0.074084885,0.34421614,0.43613386
attn_2_0_outputs,_,0.47341222,0.08374641,0.17351331
attn_2_1_outputs,(,-0.45127738,1.0018231,0.44534314
attn_2_1_outputs,),-0.6839655,0.074150436,-0.2715587
attn_2_1_outputs,<pad>,-0.70120454,-0.0535122,0.48966962
attn_2_1_outputs,<s>,-0.2806599,-0.20490536,-0.7978403
attn_2_1_outputs,_,0.20717245,-0.7625038,-0.5953323
attn_2_1_outputs,_,0.15005049,-1.1470549,-0.4587043
attn_2_1_outputs,_,0.9465549,-0.71227086,-0.25911647
attn_2_1_outputs,_,-0.3448204,-0.19821261,-0.5702802
attn_2_1_outputs,_,0.16869305,0.3031439,-0.11745471
attn_2_1_outputs,_,-0.4607347,1.3273661,-0.5856749
attn_2_1_outputs,_,-0.3482659,-0.6055313,-1.2954234
attn_2_1_outputs,_,0.6048929,0.2115645,0.3289516
attn_2_1_outputs,_,-0.19371964,-0.4275286,-0.74410176
attn_2_1_outputs,_,-0.13987288,0.3069642,0.38531253
attn_2_1_outputs,_,0.039333925,0.6699897,0.034916207
attn_2_1_outputs,_,1.5877175,-0.9881175,0.006162866
attn_2_2_outputs,(,-2.750019,2.7980466,2.5939832
attn_2_2_outputs,),3.6954346,-1.7907751,-2.5867593
attn_2_2_outputs,<pad>,-0.079127155,-0.9472731,-1.1885493
attn_2_2_outputs,<s>,4.0218706,-3.1554546,-4.7507057
attn_2_2_outputs,_,0.9610852,-0.08878815,0.08363015
attn_2_2_outputs,_,-0.08353972,0.37381604,-0.28025633
attn_2_2_outputs,_,0.35657725,0.8969886,0.072851464
attn_2_2_outputs,_,-0.32833374,-0.7531067,0.3516615
attn_2_2_outputs,_,0.9393161,-0.5649734,-0.5196474
attn_2_2_outputs,_,0.08626939,-1.1392281,1.6193309
attn_2_2_outputs,_,1.2216192,-0.21259107,-1.3641104
attn_2_2_outputs,_,-0.09241636,0.27687886,-0.16864115
attn_2_2_outputs,_,0.49919057,0.65654963,0.21979749
attn_2_2_outputs,_,-0.7234905,-0.14355081,0.40794903
attn_2_2_outputs,_,0.72649467,0.1041588,0.011536894
attn_2_2_outputs,_,0.27901632,0.6072106,-0.4015586
attn_2_3_outputs,(,-1.6574559,1.2850804,0.09690388
attn_2_3_outputs,),-0.37473014,0.7424306,0.21433578
attn_2_3_outputs,<pad>,-1.5348345,1.6227428,1.3219541
attn_2_3_outputs,<s>,0.25438994,-0.1620961,-0.8211459
attn_2_3_outputs,_,-0.051882792,0.7923025,-0.18180363
attn_2_3_outputs,_,-0.6806416,0.61710155,-0.14199154
attn_2_3_outputs,_,0.82735395,0.37269086,0.15985933
attn_2_3_outputs,_,0.5044491,0.6499633,-0.1310748
attn_2_3_outputs,_,0.3183162,-0.5054114,-0.007711913
attn_2_3_outputs,_,-0.33328158,0.29277143,0.18589394
attn_2_3_outputs,_,0.047428608,0.4182818,0.6526039
attn_2_3_outputs,_,-1.0801055,0.58600456,0.11516155
attn_2_3_outputs,_,0.04333351,0.2217204,0.12683378
attn_2_3_outputs,_,-1.0841376,0.9090559,-0.7465817
attn_2_3_outputs,_,-0.87214464,0.8850236,0.20182282
attn_2_3_outputs,_,-0.46616295,-0.37282166,0.15026246
mlp_0_0_outputs,0,-0.609197,-0.027131865,-0.22918989
mlp_0_0_outputs,1,0.556234,-0.03605403,-0.371482
mlp_0_0_outputs,10,-1.310118,3.0756617,0.20343237
mlp_0_0_outputs,11,-0.04378883,-0.092148624,-0.11734988
mlp_0_0_outputs,12,-0.90647274,-0.1498387,-0.19741559
mlp_0_0_outputs,13,0.28161588,0.206903,-0.98625535
mlp_0_0_outputs,14,0.5062789,-0.39951432,-0.25588968
mlp_0_0_outputs,15,0.15142694,0.89919674,0.6030912
mlp_0_0_outputs,2,0.72293925,-0.8654614,0.5670439
mlp_0_0_outputs,3,0.7204033,0.15438499,0.8819249
mlp_0_0_outputs,4,-0.4914485,0.48221803,-0.026991796
mlp_0_0_outputs,5,-0.2592103,-0.1592593,-0.34026244
mlp_0_0_outputs,6,-0.26047266,0.2415719,0.13886715
mlp_0_0_outputs,7,0.13437562,0.109038174,-0.27345678
mlp_0_0_outputs,8,0.15529574,0.25750098,0.09392571
mlp_0_0_outputs,9,-2.1050072,0.8252483,-0.97018075
mlp_1_0_outputs,0,0.28741208,0.35307455,0.46118635
mlp_1_0_outputs,1,-0.02276508,0.610253,-0.40055403
mlp_1_0_outputs,10,0.19024082,1.1057127,-0.119028404
mlp_1_0_outputs,11,-0.16726859,0.8911886,0.06611366
mlp_1_0_outputs,12,-0.2248021,0.68136096,-0.19288228
mlp_1_0_outputs,13,-0.2775437,0.17751533,-0.944292
mlp_1_0_outputs,14,-0.38200572,0.5241664,-0.081385374
mlp_1_0_outputs,15,-0.5838907,0.96178657,-1.1940188
mlp_1_0_outputs,2,-0.398339,0.6708183,-0.21698345
mlp_1_0_outputs,3,-0.3026861,0.12032325,-0.1728985
mlp_1_0_outputs,4,-2.0897841,2.2824123,0.1175223
mlp_1_0_outputs,5,-0.35795817,0.78761435,0.056806456
mlp_1_0_outputs,6,-1.2497257,0.2776687,-0.51030177
mlp_1_0_outputs,7,-0.025528096,0.9015349,0.009612377
mlp_1_0_outputs,8,-1.0789367,0.115357794,-0.4832368
mlp_1_0_outputs,9,0.14225361,0.18992919,0.26218814
mlp_2_0_outputs,0,-0.9600631,-0.0905738,0.4139894
mlp_2_0_outputs,1,-1.2516974,0.26433572,-0.093466
mlp_2_0_outputs,10,-0.4429331,1.2817378,1.3716829
mlp_2_0_outputs,11,-0.8686043,0.63608295,0.88492036
mlp_2_0_outputs,12,0.5736482,0.27950564,-0.3706815
mlp_2_0_outputs,13,-1.066069,0.9496548,0.7379837
mlp_2_0_outputs,14,1.1608202,-1.783248,-1.4169054
mlp_2_0_outputs,15,-0.8355681,0.7468592,0.7600724
mlp_2_0_outputs,2,0.41237113,0.16725028,-0.3574132
mlp_2_0_outputs,3,-0.86503994,1.2446153,0.70891947
mlp_2_0_outputs,4,-0.27445322,1.5090894,1.6432297
mlp_2_0_outputs,5,1.4590892,-0.91437083,-0.60318696
mlp_2_0_outputs,6,-1.553053,0.7144941,0.7145207
mlp_2_0_outputs,7,-1.256165,0.2772562,0.011028548
mlp_2_0_outputs,8,0.7696337,-1.3811562,0.09975987
mlp_2_0_outputs,9,6.067684,-2.7872226,-8.341669
num_attn_0_0_outputs,_,3.7398744,-7.181635,3.5538623
num_attn_0_1_outputs,_,0.49548444,0.100667655,-0.16136481
num_attn_0_2_outputs,_,2.1738443,-1.07889,-1.8416303
num_attn_0_3_outputs,_,0.691551,-0.5990272,0.014788681
num_attn_1_0_outputs,_,2.9874318,-2.4701202,-0.3135344
num_attn_1_1_outputs,_,0.12491817,-0.38467312,0.048041295
num_attn_1_2_outputs,_,0.3216399,0.071806945,0.3041418
num_attn_1_3_outputs,_,-1.1208845,1.7802722,0.1500264
num_attn_2_0_outputs,_,1.0652643,0.16920693,0.12847312
num_attn_2_1_outputs,_,0.2974014,-1.6822767,-0.6943763
num_attn_2_2_outputs,_,1.2344797,-1.0337117,-0.39935145
num_attn_2_3_outputs,_,0.68644404,0.025850799,0.31126392
num_mlp_0_0_outputs,0,1.0641823,-0.54406065,0.1806945
num_mlp_0_0_outputs,1,0.28959027,-1.0161468,-0.6264937
num_mlp_0_0_outputs,10,-0.043870565,0.95602506,0.09602879
num_mlp_0_0_outputs,11,0.17968851,0.8659425,0.06156473
num_mlp_0_0_outputs,12,-0.48285016,0.5750547,-0.2724834
num_mlp_0_0_outputs,13,0.37540218,-0.24070558,-0.11528563
num_mlp_0_0_outputs,14,-0.41391063,0.54637676,-0.13351686
num_mlp_0_0_outputs,15,-0.29117483,0.471855,-0.28612953
num_mlp_0_0_outputs,2,-0.20709011,0.96985,0.14005361
num_mlp_0_0_outputs,3,-0.7341656,-0.06500526,-0.43360725
num_mlp_0_0_outputs,4,-0.7252949,0.9496459,0.97981936
num_mlp_0_0_outputs,5,-0.46789286,0.19887882,-0.40079117
num_mlp_0_0_outputs,6,-0.11914711,0.50922734,-0.12805091
num_mlp_0_0_outputs,7,-0.5103994,-0.83839464,-0.7605896
num_mlp_0_0_outputs,8,0.0003218591,0.4606981,-0.7254237
num_mlp_0_0_outputs,9,0.12420503,-1.4992923,-1.0763122
num_mlp_1_0_outputs,0,-0.50804985,-0.048254747,-0.50164807
num_mlp_1_0_outputs,1,-0.18716975,0.314667,-0.13772789
num_mlp_1_0_outputs,10,-0.018390449,0.30108446,-0.16875868
num_mlp_1_0_outputs,11,-0.2499132,0.2316408,-0.27131632
num_mlp_1_0_outputs,12,-0.36267832,-0.029418426,-0.3747254
num_mlp_1_0_outputs,13,-0.5715566,-0.050854474,-0.74630326
num_mlp_1_0_outputs,14,-0.43067545,-0.19346179,0.2828539
num_mlp_1_0_outputs,15,-0.8118014,0.031878382,-0.5857855
num_mlp_1_0_outputs,2,-0.94931656,0.090484895,-0.4667937
num_mlp_1_0_outputs,3,-0.3243798,0.38227555,-0.16742714
num_mlp_1_0_outputs,4,-0.55292064,0.0885116,-0.16673157
num_mlp_1_0_outputs,5,-0.19122665,0.56547916,0.026035376
num_mlp_1_0_outputs,6,-0.35779983,0.07764958,-0.5537944
num_mlp_1_0_outputs,7,-0.16128884,0.30881864,-0.5096637
num_mlp_1_0_outputs,8,-0.77744365,-0.02209261,-0.67441314
num_mlp_1_0_outputs,9,0.1671805,0.7428009,0.7823384
num_mlp_2_0_outputs,0,-0.3438476,-0.018625923,-0.8805979
num_mlp_2_0_outputs,1,-0.19985998,0.26809484,-0.60468084
num_mlp_2_0_outputs,10,-0.39671543,0.106505,-0.6291543
num_mlp_2_0_outputs,11,-0.50791365,0.48418602,-0.25579256
num_mlp_2_0_outputs,12,-3.960384,3.2354944,1.5324167
num_mlp_2_0_outputs,13,-0.061338473,-0.11631737,-0.47945797
num_mlp_2_0_outputs,14,-0.30011797,0.09830846,-0.6083012
num_mlp_2_0_outputs,15,-0.38574433,0.19097115,-0.82048756
num_mlp_2_0_outputs,2,-0.20133315,0.10674115,-0.58823496
num_mlp_2_0_outputs,3,0.0117857745,0.66684407,0.3024773
num_mlp_2_0_outputs,4,-0.33616486,0.30070633,-0.4564914
num_mlp_2_0_outputs,5,-0.04366164,0.78352547,-0.033621307
num_mlp_2_0_outputs,6,0.08861894,0.54160535,0.0855582
num_mlp_2_0_outputs,7,0.039711624,0.9778597,0.20092271
num_mlp_2_0_outputs,8,0.72047126,0.44210163,-0.335978
num_mlp_2_0_outputs,9,-0.006253452,0.69338506,-0.3173577
ones,_,-0.7997238,1.0074667,0.026579212
positions,0,-0.29179272,0.23241787,0.6308148
positions,1,-3.904494,5.006513,-1.8895661
positions,10,2.2057185,-5.531098,5.206517
positions,11,3.9026654,-2.0590394,-2.612058
positions,12,4.1754217,-4.574852,5.335018
positions,13,3.8170507,-2.526535,-3.9886053
positions,14,0.7010598,-0.4262054,-0.4852942
positions,15,4.7547708,-4.233093,-4.5563035
positions,2,-2.9996147,-6.9421015,6.494166
positions,3,1.2800095,2.991268,-9.872106
positions,4,1.2470323,-2.7899837,2.7413142
positions,5,-9.135268,14.433624,-8.043073
positions,6,-7.3264008,11.024153,-0.3841814
positions,7,0.30973187,2.3126788,-1.3860149
positions,8,-10.491879,17.33303,-5.2549305
positions,9,-1.5044698,3.8648603,-1.0246311
tokens,(,2.0314052,0.9187388,-5.384055
tokens,),-3.5163503,0.672222,2.1528707
tokens,<pad>,0.3435328,0.89075476,-1.2196645
tokens,<s>,-0.33722147,-0.05571238,-0.4713453
tokens,_,0.55962527,-0.5702431,0.23070188
tokens,_,0.2838472,0.7993582,-0.99131817
tokens,_,0.12776248,0.89144236,-0.23171602
tokens,_,-0.13315062,0.95989436,0.9555972
tokens,_,-0.6196355,-0.36522523,-0.359687
tokens,_,0.10280879,0.3058465,-0.47682306
tokens,_,0.35391825,-0.20935811,0.6336341
tokens,_,1.0826828,-0.8673405,-0.55527455
tokens,_,0.5650465,0.42321026,-0.6229729
tokens,_,0.34496674,-0.7241081,-0.40609998
tokens,_,-0.053234033,0.15473613,0.3231568
tokens,_,0.897978,-0.39115798,-0.12659745
