feature,value,1,2,3,4,5,6,7
tokens,<s>,1.4370645,1.0922812,0.60103923,-0.70164615,-0.93955183,-1.3053267,-0.10775584
tokens,_,0.72670037,1.2790854,0.71709114,-0.71338516,-1.1981865,-0.79267186,-1.3868717
tokens,_,0.5787883,0.9277886,0.4964167,-1.2608145,-1.3071285,-0.5101513,-0.2642106
tokens,_,0.34473518,0.41424292,0.20068942,-0.7294361,-1.2541718,-0.7647365,-0.8605957
tokens,_,0.7119764,0.3381243,1.193373,-0.5431252,-2.011095,-0.8998073,-0.18624038
tokens,_,1.5303999,0.021809187,0.4659325,-0.25068715,-1.1553196,-0.27763206,-0.4394409
tokens,_,0.23181544,0.876161,0.23265429,-0.6922736,-1.4800303,-0.8328109,-0.39993787
tokens,_,0.5367159,1.5141258,0.2816001,-0.64577407,-1.3949735,-1.035241,-0.77274656
tokens,_,0.7475577,0.2515271,0.048580863,-1.4191813,-1.5843589,-0.8482632,-1.8734732
tokens,_,0.26369143,0.24099985,-3.5720255e-05,-0.45334327,-0.8390278,-0.7454434,-0.050694216
tokens,_,0.21531911,1.7923931,0.82419,-0.9336899,-1.8605646,-0.41661623,-0.32914585
tokens,_,0.30939844,0.330169,1.0953897,-0.40477768,-1.191828,-0.49324468,-1.0020944
tokens,_,0.46917546,0.91887957,0.23470062,-0.90271217,-1.4696912,-1.0910227,-0.50891405
